,dteday,WeatherCondition,temp,hum,windspeed,casual,registered,Total Users,rainy_day
0,2011-01-01,2,0.344167,0.805833,0.160446,331,654,985,Yes
1,2011-01-02,2,0.363478,0.696087,0.248539,131,670,801,No
2,2011-01-03,1,0.196364,0.437273,0.248309,120,1229,1349,No
3,2011-01-04,1,0.2,0.590435,0.160296,108,1454,1562,No
4,2011-01-05,1,0.226957,0.436957,0.1869,82,1518,1600,No
5,2011-01-06,1,0.204348,0.518261,0.0895652,88,1518,1606,No
6,2011-01-07,2,0.196522,0.498696,0.168726,148,1362,1510,No
7,2011-01-08,2,0.165,0.535833,0.266804,68,891,959,No
8,2011-01-09,1,0.138333,0.434167,0.36195,54,768,822,No
9,2011-01-10,1,0.150833,0.482917,0.223267,41,1280,1321,No
10,2011-01-11,2,0.169091,0.686364,0.122132,43,1220,1263,No
11,2011-01-12,1,0.172727,0.599545,0.304627,25,1137,1162,No
12,2011-01-13,1,0.165,0.470417,0.301,38,1368,1406,No
13,2011-01-14,1,0.16087,0.537826,0.126548,54,1367,1421,No
14,2011-01-15,2,0.233333,0.49875,0.157963,222,1026,1248,No
15,2011-01-16,1,0.231667,0.48375,0.188433,251,953,1204,No
16,2011-01-17,2,0.175833,0.5375,0.194017,117,883,1000,No
17,2011-01-18,2,0.216667,0.861667,0.146775,9,674,683,Yes
18,2011-01-19,2,0.292174,0.741739,0.208317,78,1572,1650,Yes
19,2011-01-20,2,0.261667,0.538333,0.195904,83,1844,1927,No
20,2011-01-21,1,0.1775,0.457083,0.353242,75,1468,1543,No
21,2011-01-22,1,0.0591304,0.4,0.17197,93,888,981,No
22,2011-01-23,1,0.0965217,0.436522,0.2466,150,836,986,No
23,2011-01-24,1,0.0973913,0.491739,0.15833,86,1330,1416,No
24,2011-01-25,2,0.223478,0.616957,0.129796,186,1799,1985,No
25,2011-01-26,3,0.2175,0.8625,0.29385,34,472,506,Yes
26,2011-01-27,1,0.195,0.6875,0.113837,15,416,431,No
27,2011-01-28,2,0.203478,0.793043,0.1233,38,1129,1167,Yes
28,2011-01-29,1,0.196522,0.651739,0.145365,123,975,1098,No
29,2011-01-30,1,0.216522,0.722174,0.0739826,140,956,1096,Yes
30,2011-01-31,2,0.180833,0.60375,0.187192,42,1459,1501,No
31,2011-02-01,2,0.192174,0.829565,0.053213,47,1313,1360,Yes
32,2011-02-02,2,0.26,0.775417,0.264308,72,1454,1526,Yes
33,2011-02-03,1,0.186957,0.437826,0.277752,61,1489,1550,No
34,2011-02-04,2,0.211304,0.585217,0.127839,88,1620,1708,No
35,2011-02-05,2,0.233333,0.929167,0.161079,100,905,1005,Yes
36,2011-02-06,1,0.285833,0.568333,0.1418,354,1269,1623,No
37,2011-02-07,1,0.271667,0.738333,0.0454083,120,1592,1712,Yes
38,2011-02-08,1,0.220833,0.537917,0.36195,64,1466,1530,No
39,2011-02-09,2,0.134783,0.494783,0.188839,53,1552,1605,No
40,2011-02-10,1,0.144348,0.437391,0.221935,47,1491,1538,No
41,2011-02-11,1,0.189091,0.506364,0.10855,149,1597,1746,No
42,2011-02-12,1,0.2225,0.544167,0.203367,288,1184,1472,No
43,2011-02-13,1,0.316522,0.457391,0.260883,397,1192,1589,No
44,2011-02-14,1,0.415,0.375833,0.417908,208,1705,1913,No
45,2011-02-15,1,0.266087,0.314348,0.291374,140,1675,1815,No
46,2011-02-16,1,0.318261,0.423478,0.251791,218,1897,2115,No
47,2011-02-17,1,0.435833,0.505,0.230104,259,2216,2475,No
48,2011-02-18,1,0.521667,0.516667,0.264925,579,2348,2927,No
49,2011-02-19,1,0.399167,0.187917,0.507463,532,1103,1635,No
50,2011-02-20,1,0.285217,0.407826,0.223235,639,1173,1812,No
51,2011-02-21,2,0.303333,0.605,0.307846,195,912,1107,No
52,2011-02-22,1,0.182222,0.577778,0.195683,74,1376,1450,No
53,2011-02-23,1,0.221739,0.423043,0.094113,139,1778,1917,No
54,2011-02-24,2,0.295652,0.697391,0.250496,100,1707,1807,No
55,2011-02-25,2,0.364348,0.712174,0.346539,120,1341,1461,Yes
56,2011-02-26,1,0.2825,0.537917,0.186571,424,1545,1969,No
57,2011-02-27,1,0.343478,0.68,0.125248,694,1708,2402,No
58,2011-02-28,2,0.407273,0.876364,0.289686,81,1365,1446,Yes
59,2011-03-01,1,0.266667,0.535,0.216425,137,1714,1851,No
60,2011-03-02,1,0.335,0.449583,0.307833,231,1903,2134,No
61,2011-03-03,1,0.198333,0.318333,0.225754,123,1562,1685,No
62,2011-03-04,2,0.261667,0.610417,0.203346,214,1730,1944,No
63,2011-03-05,2,0.384167,0.789167,0.251871,640,1437,2077,Yes
64,2011-03-06,2,0.376522,0.948261,0.343287,114,491,605,Yes
65,2011-03-07,1,0.261739,0.551304,0.341352,244,1628,1872,No
66,2011-03-08,1,0.2925,0.420833,0.12065,316,1817,2133,No
67,2011-03-09,2,0.295833,0.775417,0.22015,191,1700,1891,Yes
68,2011-03-10,3,0.389091,0.0,0.261877,46,577,623,No
69,2011-03-11,2,0.316522,0.649565,0.23297,247,1730,1977,No
70,2011-03-12,1,0.329167,0.594583,0.220775,724,1408,2132,No
71,2011-03-13,1,0.384348,0.527391,0.270604,982,1435,2417,No
72,2011-03-14,1,0.325217,0.496957,0.136926,359,1687,2046,No
73,2011-03-15,2,0.317391,0.655652,0.184309,289,1767,2056,No
74,2011-03-16,2,0.365217,0.776522,0.203117,321,1871,2192,Yes
75,2011-03-17,1,0.415,0.602917,0.209579,424,2320,2744,No
76,2011-03-18,1,0.54,0.525217,0.231017,884,2355,3239,No
77,2011-03-19,1,0.4725,0.379167,0.368167,1424,1693,3117,No
78,2011-03-20,1,0.3325,0.47375,0.207721,1047,1424,2471,No
79,2011-03-21,2,0.430435,0.737391,0.288783,401,1676,2077,Yes
80,2011-03-22,1,0.441667,0.624583,0.22575,460,2243,2703,No
81,2011-03-23,2,0.346957,0.839565,0.234261,203,1918,2121,Yes
82,2011-03-24,2,0.285,0.805833,0.243787,166,1699,1865,Yes
83,2011-03-25,1,0.264167,0.495,0.230725,300,1910,2210,No
84,2011-03-26,1,0.265833,0.394167,0.209571,981,1515,2496,No
85,2011-03-27,2,0.253043,0.493913,0.1843,472,1221,1693,No
86,2011-03-28,1,0.264348,0.302174,0.212204,222,1806,2028,No
87,2011-03-29,1,0.3025,0.314167,0.226996,317,2108,2425,No
88,2011-03-30,2,0.3,0.646667,0.172888,168,1368,1536,No
89,2011-03-31,3,0.268333,0.918333,0.217646,179,1506,1685,Yes
90,2011-04-01,2,0.3,0.68625,0.258708,307,1920,2227,No
91,2011-04-02,2,0.315,0.65375,0.197146,898,1354,2252,No
92,2011-04-03,1,0.378333,0.48,0.182213,1651,1598,3249,No
93,2011-04-04,1,0.573333,0.42625,0.385571,734,2381,3115,No
94,2011-04-05,2,0.414167,0.642083,0.388067,167,1628,1795,No
95,2011-04-06,1,0.390833,0.470833,0.263063,413,2395,2808,No
96,2011-04-07,1,0.4375,0.602917,0.162312,571,2570,3141,No
97,2011-04-08,2,0.335833,0.83625,0.226992,172,1299,1471,Yes
98,2011-04-09,2,0.3425,0.8775,0.133083,879,1576,2455,Yes
99,2011-04-10,2,0.426667,0.8575,0.146767,1188,1707,2895,Yes
100,2011-04-11,2,0.595652,0.716956,0.324474,855,2493,3348,Yes
101,2011-04-12,2,0.5025,0.739167,0.274879,257,1777,2034,Yes
102,2011-04-13,2,0.4125,0.819167,0.250617,209,1953,2162,Yes
103,2011-04-14,1,0.4675,0.540417,0.1107,529,2738,3267,No
104,2011-04-15,1,0.446667,0.67125,0.226375,642,2484,3126,No
105,2011-04-16,3,0.430833,0.888333,0.340808,121,674,795,Yes
106,2011-04-17,1,0.456667,0.479583,0.303496,1558,2186,3744,No
107,2011-04-18,1,0.5125,0.5425,0.163567,669,2760,3429,No
108,2011-04-19,2,0.505833,0.665833,0.157971,409,2795,3204,No
109,2011-04-20,1,0.595,0.614167,0.241925,613,3331,3944,No
110,2011-04-21,1,0.459167,0.407083,0.325258,745,3444,4189,No
111,2011-04-22,2,0.336667,0.729583,0.219521,177,1506,1683,Yes
112,2011-04-23,2,0.46,0.887917,0.230725,1462,2574,4036,Yes
113,2011-04-24,2,0.581667,0.810833,0.192175,1710,2481,4191,Yes
114,2011-04-25,1,0.606667,0.776667,0.185333,773,3300,4073,Yes
115,2011-04-26,1,0.631667,0.729167,0.3265,678,3722,4400,Yes
116,2011-04-27,2,0.62,0.835417,0.3122,547,3325,3872,Yes
117,2011-04-28,2,0.6175,0.700833,0.320908,569,3489,4058,Yes
118,2011-04-29,1,0.51,0.457083,0.240063,878,3717,4595,No
119,2011-04-30,1,0.4725,0.503333,0.235075,1965,3347,5312,No
120,2011-05-01,2,0.451667,0.762083,0.106354,1138,2213,3351,Yes
121,2011-05-02,2,0.549167,0.73,0.183454,847,3554,4401,Yes
122,2011-05-03,2,0.616667,0.697083,0.342667,603,3848,4451,No
123,2011-05-04,2,0.414167,0.737083,0.328996,255,2378,2633,Yes
124,2011-05-05,1,0.459167,0.444167,0.295392,614,3819,4433,No
125,2011-05-06,1,0.479167,0.59,0.228246,894,3714,4608,No
126,2011-05-07,1,0.52,0.54125,0.16045,1612,3102,4714,No
127,2011-05-08,1,0.528333,0.631667,0.0746375,1401,2932,4333,No
128,2011-05-09,1,0.5325,0.58875,0.176,664,3698,4362,No
129,2011-05-10,1,0.5325,0.489167,0.115671,694,4109,4803,No
130,2011-05-11,1,0.5425,0.632917,0.120642,550,3632,4182,No
131,2011-05-12,1,0.535,0.7475,0.189667,695,4169,4864,Yes
132,2011-05-13,2,0.5125,0.863333,0.179725,692,3413,4105,Yes
133,2011-05-14,2,0.520833,0.9225,0.13495,902,2507,3409,Yes
134,2011-05-15,2,0.5625,0.867083,0.152979,1582,2971,4553,Yes
135,2011-05-16,1,0.5775,0.787917,0.126871,773,3185,3958,Yes
136,2011-05-17,2,0.561667,0.837917,0.277354,678,3445,4123,Yes
137,2011-05-18,2,0.55,0.87,0.201492,536,3319,3855,Yes
138,2011-05-19,2,0.530833,0.829583,0.108213,735,3840,4575,Yes
139,2011-05-20,1,0.536667,0.719583,0.125013,909,4008,4917,Yes
140,2011-05-21,1,0.6025,0.626667,0.12065,2258,3547,5805,No
141,2011-05-22,1,0.604167,0.749583,0.148008,1576,3084,4660,Yes
142,2011-05-23,2,0.631667,0.81,0.233842,836,3438,4274,Yes
143,2011-05-24,2,0.66,0.740833,0.207092,659,3833,4492,Yes
144,2011-05-25,1,0.660833,0.69625,0.154233,740,4238,4978,No
145,2011-05-26,1,0.708333,0.6775,0.199642,758,3919,4677,No
146,2011-05-27,1,0.681667,0.65375,0.240679,871,3808,4679,No
147,2011-05-28,1,0.655833,0.729583,0.230092,2001,2757,4758,Yes
148,2011-05-29,1,0.6675,0.81875,0.213938,2355,2433,4788,Yes
149,2011-05-30,1,0.733333,0.685,0.131225,1549,2549,4098,No
150,2011-05-31,1,0.775,0.636667,0.111329,673,3309,3982,No
151,2011-06-01,2,0.764167,0.677083,0.207092,513,3461,3974,No
152,2011-06-02,1,0.715,0.305,0.292287,736,4232,4968,No
153,2011-06-03,1,0.62,0.354167,0.253121,898,4414,5312,No
154,2011-06-04,1,0.635,0.45625,0.123142,1869,3473,5342,No
155,2011-06-05,2,0.648333,0.6525,0.138692,1685,3221,4906,No
156,2011-06-06,1,0.678333,0.6,0.121896,673,3875,4548,No
157,2011-06-07,1,0.7075,0.597917,0.187808,763,4070,4833,No
158,2011-06-08,1,0.775833,0.622083,0.136817,676,3725,4401,No
159,2011-06-09,2,0.808333,0.568333,0.149883,563,3352,3915,No
160,2011-06-10,1,0.755,0.605,0.140554,815,3771,4586,No
161,2011-06-11,1,0.725,0.654583,0.15485,1729,3237,4966,No
162,2011-06-12,1,0.6925,0.747917,0.163567,1467,2993,4460,Yes
163,2011-06-13,1,0.635,0.494583,0.30535,863,4157,5020,No
164,2011-06-14,1,0.604167,0.507083,0.269283,727,4164,4891,No
165,2011-06-15,1,0.626667,0.471667,0.167912,769,4411,5180,No
166,2011-06-16,2,0.628333,0.688333,0.206471,545,3222,3767,No
167,2011-06-17,1,0.649167,0.735833,0.143029,863,3981,4844,Yes
168,2011-06-18,1,0.696667,0.670417,0.119408,1807,3312,5119,No
169,2011-06-19,2,0.699167,0.666667,0.102,1639,3105,4744,No
170,2011-06-20,2,0.635,0.74625,0.155475,699,3311,4010,Yes
171,2011-06-21,2,0.680833,0.770417,0.171025,774,4061,4835,Yes
172,2011-06-22,1,0.733333,0.7075,0.172262,661,3846,4507,Yes
173,2011-06-23,2,0.728333,0.703333,0.238804,746,4044,4790,Yes
174,2011-06-24,1,0.724167,0.573333,0.222025,969,4022,4991,No
175,2011-06-25,1,0.695,0.483333,0.209571,1782,3420,5202,No
176,2011-06-26,1,0.68,0.513333,0.0945333,1920,3385,5305,No
177,2011-06-27,2,0.6825,0.658333,0.107588,854,3854,4708,No
178,2011-06-28,1,0.744167,0.634167,0.144283,732,3916,4648,No
179,2011-06-29,1,0.728333,0.497917,0.261821,848,4377,5225,No
180,2011-06-30,1,0.696667,0.434167,0.185312,1027,4488,5515,No
181,2011-07-01,1,0.7225,0.39625,0.102608,1246,4116,5362,No
182,2011-07-02,1,0.738333,0.444583,0.115062,2204,2915,5119,No
183,2011-07-03,2,0.716667,0.6825,0.228858,2282,2367,4649,No
184,2011-07-04,2,0.726667,0.637917,0.0814792,3065,2978,6043,No
185,2011-07-05,1,0.746667,0.590417,0.126258,1031,3634,4665,No
186,2011-07-06,1,0.72,0.743333,0.149883,784,3845,4629,Yes
187,2011-07-07,1,0.75,0.65125,0.1592,754,3838,4592,No
188,2011-07-08,2,0.709167,0.757917,0.225129,692,3348,4040,Yes
189,2011-07-09,1,0.733333,0.609167,0.167912,1988,3348,5336,No
190,2011-07-10,1,0.7475,0.578333,0.183471,1743,3138,4881,No
191,2011-07-11,1,0.7625,0.635833,0.282337,723,3363,4086,No
192,2011-07-12,1,0.794167,0.559167,0.200254,662,3596,4258,No
193,2011-07-13,1,0.746667,0.631667,0.146133,748,3594,4342,No
194,2011-07-14,1,0.680833,0.47625,0.240667,888,4196,5084,No
195,2011-07-15,1,0.663333,0.59125,0.182833,1318,4220,5538,No
196,2011-07-16,1,0.686667,0.585,0.208342,2418,3505,5923,No
197,2011-07-17,1,0.719167,0.604167,0.245033,2006,3296,5302,No
198,2011-07-18,1,0.746667,0.65125,0.215804,841,3617,4458,No
199,2011-07-19,1,0.776667,0.650417,0.1306,752,3789,4541,No
200,2011-07-20,1,0.768333,0.707083,0.113817,644,3688,4332,Yes
201,2011-07-21,2,0.815,0.69125,0.222021,632,3152,3784,No
202,2011-07-22,1,0.848333,0.580417,0.1331,562,2825,3387,No
203,2011-07-23,1,0.849167,0.5,0.131221,987,2298,3285,No
204,2011-07-24,1,0.83,0.550833,0.169171,1050,2556,3606,No
205,2011-07-25,1,0.743333,0.757083,0.0908083,568,3272,3840,Yes
206,2011-07-26,1,0.771667,0.540833,0.200258,750,3840,4590,No
207,2011-07-27,1,0.775,0.402917,0.183463,755,3901,4656,No
208,2011-07-28,1,0.779167,0.583333,0.178479,606,3784,4390,No
209,2011-07-29,1,0.838333,0.5425,0.174138,670,3176,3846,No
210,2011-07-30,1,0.804167,0.465833,0.168537,1559,2916,4475,No
211,2011-07-31,1,0.805833,0.480833,0.164813,1524,2778,4302,No
212,2011-08-01,1,0.771667,0.550833,0.156717,729,3537,4266,No
213,2011-08-02,1,0.783333,0.49125,0.20585,801,4044,4845,No
214,2011-08-03,2,0.731667,0.6575,0.135583,467,3107,3574,No
215,2011-08-04,2,0.71,0.7575,0.19715,799,3777,4576,Yes
216,2011-08-05,1,0.710833,0.630833,0.184696,1023,3843,4866,No
217,2011-08-06,2,0.716667,0.755,0.22825,1521,2773,4294,Yes
218,2011-08-07,1,0.7425,0.752917,0.201487,1298,2487,3785,Yes
219,2011-08-08,1,0.765,0.592083,0.192175,846,3480,4326,No
220,2011-08-09,1,0.775,0.570417,0.151121,907,3695,4602,No
221,2011-08-10,1,0.766667,0.424167,0.200258,884,3896,4780,No
222,2011-08-11,1,0.7175,0.42375,0.164796,812,3980,4792,No
223,2011-08-12,1,0.708333,0.415,0.125621,1051,3854,4905,No
224,2011-08-13,2,0.685833,0.729583,0.211454,1504,2646,4150,Yes
225,2011-08-14,2,0.676667,0.8175,0.222633,1338,2482,3820,Yes
226,2011-08-15,1,0.665833,0.712083,0.208954,775,3563,4338,Yes
227,2011-08-16,1,0.700833,0.578333,0.236329,721,4004,4725,No
228,2011-08-17,1,0.723333,0.575417,0.143667,668,4026,4694,No
229,2011-08-18,1,0.711667,0.654583,0.233208,639,3166,3805,No
230,2011-08-19,2,0.685,0.722917,0.139308,797,3356,4153,Yes
231,2011-08-20,1,0.6975,0.674167,0.104467,1914,3277,5191,No
232,2011-08-21,1,0.710833,0.77,0.248754,1249,2624,3873,Yes
233,2011-08-22,1,0.691667,0.47,0.27675,833,3925,4758,No
234,2011-08-23,1,0.640833,0.455417,0.146763,1281,4614,5895,No
235,2011-08-24,1,0.673333,0.605,0.253108,949,4181,5130,No
236,2011-08-25,2,0.684167,0.771667,0.210833,435,3107,3542,Yes
237,2011-08-26,1,0.7,0.76125,0.0839625,768,3893,4661,Yes
238,2011-08-27,2,0.68,0.85,0.375617,226,889,1115,Yes
239,2011-08-28,1,0.707059,0.561765,0.304659,1415,2919,4334,No
240,2011-08-29,1,0.636667,0.554583,0.159825,729,3905,4634,No
241,2011-08-30,1,0.639167,0.548333,0.125008,775,4429,5204,No
242,2011-08-31,1,0.656667,0.597917,0.0833333,688,4370,5058,No
243,2011-09-01,1,0.655,0.639167,0.141796,783,4332,5115,No
244,2011-09-02,2,0.643333,0.727083,0.139929,875,3852,4727,Yes
